time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1758118343.33450007,0.30178981,12466,0.00346597,0.00000000,0,0.00000000,19805,20018,267,0.00392582
1758118343.43449998,0.28529711,12447,0.00339899,0.00000000,0,0.00000000,20018,20174,231,0.00249995
1758118343.63439989,0.27969099,12410,0.00577636,0.00000000,0,0.00000000,20174,20276,200,0.00265701
1758118343.73429990,0.28712399,12427,0.00156200,0.00000000,0,0.00000000,20276,20359,123,0.00230816
1758118343.83410001,0.28611848,12471,0.00244036,0.00000000,0,0.00000000,20359,20390,76,0.00225764
1758118343.93420005,0.30589676,12426,0.00264511,0.00000000,0,0.00000000,20390,20548,201,0.00385894
1758118344.03430009,0.27196843,12378,0.00178006,0.00000000,0,0.00000000,20548,20603,77,0.00371501
1758118344.13389993,0.29193389,12333,0.00197305,0.00000000,0,0.00000000,20603,20689,107,0.00226141
1758118344.23469996,0.26404530,12315,0.00137678,0.00000000,0,0.00000000,20689,20761,79,0.00285765
1758118344.33489990,0.30244643,12262,0.00366571,0.00000000,0,0.00000000,20761,20901,228,0.00280199
1758118344.43470001,0.26471884,12281,0.00279434,0.00000000,0,0.00000000,20901,21014,221,0.00263719
1758118344.53469992,0.30732506,12272,0.00211537,0.00000000,0,0.00000000,21014,21174,223,0.00253417
1758118344.63459992,0.28238581,12264,0.00202561,0.00000000,0,0.00000000,21174,21215,69,0.00237734
1758118344.73519993,0.28453239,12313,0.00228850,0.00000000,0,0.00000000,21215,21294,194,0.00345176
1758118344.83459997,0.28893657,12313,0.00255223,0.00000000,0,0.00000000,21294,21326,144,0.00441500
1758118344.93460011,0.27864846,12309,0.00196291,0.00000000,0,0.00000000,21326,21352,53,0.00337265
1758118345.03489995,0.29436253,12346,0.00193906,0.00000000,0,0.00000000,21352,21402,74,0.00259931
1758118345.13479996,0.28139438,12367,0.00200446,0.00000000,0,0.00000000,21402,21470,136,0.00264327
1758118345.23440003,0.28397477,12372,0.00211711,0.00000000,0,0.00000000,21470,21535,87,0.00224650
1758118345.43429995,0.27624159,12451,0.00193967,0.00000000,0,0.00000000,21535,21584,68,0.00303177
1758118345.53439999,0.28776832,12415,0.00123687,0.00000000,0,0.00000000,21584,21623,56,0.00366705
1758118345.63450003,0.27728975,12363,0.00368632,0.00000000,0,0.00000000,21623,21650,68,0.00222141
1758118345.73410010,0.27421669,12377,0.00200269,0.00000000,0,0.00000000,21650,21587,69,0.00248675
1758118345.93479991,0.30125831,12400,0.00186165,0.00000000,0,0.00000000,21587,21706,162,0.00307896
1758118346.03480005,0.25879309,12394,0.00182416,0.00000000,0,0.00000000,21706,21754,61,0.00455897
1758118346.13450003,0.25356131,12433,0.00147402,0.00000000,0,0.00000000,21754,21816,77,0.00224704
1758118346.23449993,0.26083809,12421,0.00151037,0.00000000,0,0.00000000,21816,21873,82,0.00386442
1758118346.43359995,0.27608130,12434,0.00240671,0.00000000,0,0.00000000,21873,22086,261,0.00348776
1758118346.53399992,0.27909250,12402,0.00354022,0.00000000,0,0.00000000,22086,22189,228,0.00263534
1758118346.63350010,0.32368743,12531,0.00381541,0.00000000,0,0.00000000,22189,22336,221,0.00223941
1758118346.73320007,0.30099524,12507,0.00276768,0.00000000,0,0.00000000,22336,22447,165,0.00246574
1758118346.83310008,0.29209545,12513,0.00203018,0.00000000,0,0.00000000,22447,22548,178,0.00247622
1758118347.13339996,0.28381308,12543,0.00202829,0.00000000,0,0.00000000,22548,22592,72,0.00474063
1758118347.23399997,0.29222427,12502,0.00193505,0.00000000,0,0.00000000,22592,22630,64,0.00258753
1758118347.33430004,0.32047235,12506,0.00559390,0.00000000,0,0.00000000,22630,22714,218,0.00286727
1758118347.53460002,0.30010912,12503,0.00199088,0.00000000,0,0.00000000,22714,22795,135,0.00258916
1758118347.63450003,0.30872157,12502,0.00322331,0.00000000,0,0.00000000,22795,22809,89,0.00400380
1758118347.73490000,0.27118058,12539,0.00208776,0.00000000,0,0.00000000,22809,22851,80,0.00290667
1758118347.83480000,0.26513926,12547,0.00161782,0.00000000,0,0.00000000,22851,22895,58,0.00244422
1758118347.93420005,0.27537982,12563,0.00198564,0.00000000,0,0.00000000,22895,22894,59,0.00305759
1758118348.03449988,0.28010659,12568,0.00217942,0.00000000,0,0.00000000,22894,22950,75,0.00433770
1758118348.13420010,0.24016574,12572,0.00142983,0.00000000,0,0.00000000,22950,23007,89,0.00215804
1758118348.23370004,0.24660040,12546,0.00193556,0.00000000,0,0.00000000,23007,23124,157,0.00224687
1758118348.33400011,0.28994002,12556,0.00105924,0.00000000,0,0.00000000,23124,23173,53,0.00259312
1758118348.43449998,0.25753948,12557,0.00412000,0.00000000,0,0.00000000,23173,23110,149,0.00276225
1758118348.53449988,0.23756949,12560,0.00203929,0.00000000,0,0.00000000,23110,23144,78,0.00232428
1758118348.63459992,0.26235496,12555,0.00304623,0.00000000,0,0.00000000,23144,23270,169,0.00251791
1758118348.73429990,0.23780923,12535,0.00159984,0.00000000,0,0.00000000,23270,23374,161,0.00226928
1758118348.83439994,0.29656197,12588,0.00265687,0.00000000,0,0.00000000,23374,23471,155,0.00243878
1758118349.13409996,0.22281308,12597,0.00103959,0.00000000,0,0.00000000,23471,23489,39,0.00271359
